id,car_auction_id,bidder_id,amount,currency,is_winning,is_auto_bid,max_auto_bid_amount,ip_address,user_agent,bid_source,is_valid,invalid_reason,created_at
33,7,12,95500,USD,,,0,,,web,1,,1765156324607
35,7,12,96000,USD,,,0,,,web,1,,1765156454111
38,10,14,90250,USD,,,0,,,web,1,,1765370166741
39,10,16,90500,USD,,,0,,,web,1,,1765370198128
40,10,16,91000,USD,,,0,,,web,1,,1765370206788
41,10,16,91010,USD,1,,0,,,web,1,,1765370241008
42,3,14,851000,USD,,,0,,,web,1,,1765477002556
43,3,15,851250,USD,,,0,,,web,1,,1765477094186
44,3,14,851500,USD,,,0,,,web,1,,1765477143326
45,3,14,852000,USD,1,,0,,,web,1,,1765477146951
46,36,14,1801,USD,,,0,,,web,1,,1765477303168
47,36,14,2301,USD,1,,0,,,web,1,,1765477305457
48,5,15,180250,USD,,,0,,,web,1,,1765478466313
49,5,14,180750,USD,,,0,,,web,1,,1765478495121
50,5,14,181000,USD,,,0,,,web,1,,1765478505987
51,5,15,181250,USD,,,0,,,web,1,,1765478512339
52,37,14,342,USD,,,0,,,web,1,,1765478697662
53,37,14,1342,USD,,,0,,,web,1,,1765478699213
54,37,14,1842,USD,1,,0,,,web,1,,1765478701030
55,5,15,181750,USD,1,,0,,,web,1,,1765490020226
56,4,15,400500,USD,,,0,,,web,1,,1765505370916
57,1,18,150500,USD,,,0,,,web,1,,1765510418409
58,1,15,151500,USD,,,0,,,web,1,,1765510426434
59,1,15,152000,USD,,,0,,,web,1,,1765511494393
60,2,15,1200500,USD,,,0,,,web,1,,1765519142965
61,2,15,1201000,USD,,,0,,,web,1,,1765519164114
62,2,15,1201500,USD,,,0,,,web,1,,1765519168064
63,2,17,1202500,USD,,,0,,,web,1,,1765519170823
64,4,15,401000,USD,,,0,,,web,1,,1765519234871
65,4,15,401500,USD,,,0,,,web,1,,1765519238670
66,4,15,402000,USD,,,0,,,web,1,,1765519241026
67,4,15,402500,USD,,,0,,,web,1,,1765519254607
68,4,15,403000,USD,,,0,,,web,1,,1765519256946
69,1,17,152500,USD,,,0,,,web,1,,1765534663440
70,1,17,153000,USD,,,0,,,web,1,,1765542607435
71,1,17,154000,USD,,,0,,,web,1,,1765542619125
72,1,17,155000,USD,,,0,,,web,1,,1765542621391
73,1,17,156000,USD,,,0,,,web,1,,1765542622712
74,1,17,157000,USD,,,0,,,web,1,,1765542623694
75,1,17,158000,USD,,,0,,,web,1,,1765542624724
76,1,17,159000,USD,,,0,,,web,1,,1765542626101
77,1,17,160000,USD,,,0,,,web,1,,1765542627045
78,1,17,161000,USD,,,0,,,web,1,,1765542628044
79,1,17,162000,USD,,,0,,,web,1,,1765542628969
80,1,17,163000,USD,,,0,,,web,1,,1765542630032
81,1,17,164000,USD,,,0,,,web,1,,1765542631101
82,1,17,165000,USD,,,0,,,web,1,,1765542632064
83,1,17,166000,USD,,,0,,,web,1,,1765542632960
84,1,17,167000,USD,,,0,,,web,1,,1765542633854
85,1,17,168000,USD,,,0,,,web,1,,1765542635178
86,1,17,169000,USD,,,0,,,web,1,,1765542643594
87,1,17,170000,USD,,,0,,,web,1,,1765542644693
88,1,17,171000,USD,,,0,,,web,1,,1765542645620
89,1,15,172000,USD,,,0,,,web,1,,1765542647546
90,2,17,1203500,USD,,,0,,,web,1,,1765542669131
91,2,17,1204500,USD,,,0,,,web,1,,1765542671463
92,2,17,1205500,USD,,,0,,,web,1,,1765542672368
93,2,17,1206500,USD,,,0,,,web,1,,1765542673369
94,2,17,1207500,USD,,,0,,,web,1,,1765542674356
95,2,15,1208500,USD,,,0,,,web,1,,1765542675411
96,1,15,172500,USD,,,0,,,web,1,,1765646645825
97,1,15,173000,USD,1,,0,,,web,1,,1765646651294
98,4,15,403500,USD,,,0,,,web,1,,1766378866538
99,4,15,403750,USD,,,0,,,web,1,,1766378887729
100,4,15,404000,USD,,,0,,,web,1,,1766378899786
101,4,15,405000,USD,,,0,,,web,1,,1766378906913
102,4,15,405500,USD,,,0,,,web,1,,1766378927588
103,4,15,406000,USD,,,0,,,web,1,,1766378935826
104,4,15,406500,USD,,,0,,,web,1,,1766378946842
105,4,15,407000,USD,1,,0,,,web,1,,1766378948312
106,2,15,1208750,USD,,,0,,,web,1,,1767393689975
107,2,15,1209250,USD,1,,0,,,web,1,,1767393701582
